productName,productPrice,seller,city,unitSold,rating
kerupuk seblak bantat kriwil syahrini 250gr oleh oleh bandung,Rp19.000,SIMANALAGI-KOSAMBI-BANDUNG,Bandung,100+ terjual,4.9
Kerupuk Seblak Pedas Gurih aroma Kencur,Rp15.000,,,1rb+ terjual,
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,,,250+ terjual,
Mamafuji - Seblak Instan viral (DUTA SEBLAK APPROVED),Rp24.839,Mama Fuji Official,Tangerang,100+ terjual,4.8
Kerupuk Bawang Warna Putih Dan Orange 500Gram Seblak Nasi Uduk Dll - Putih,Rp13.250,Distributor-Jaya,Tangerang,100+ terjual,4.8
Kerupuk Bawang Warna 5 Kg (BALL) Kerupuk Seblak / Kerupuk Mentah / Ker,Rp86.300,Distributor Topping Baso Aci,Bandung,6 terjual,5.0
Kylafood Seblak Cup,Rp14.000,Kylafood Jakarta,Jakarta Selatan,250+ terjual,4.9
Seblak Instan Premium Bangsatria,Rp21.000,Foodstocks,Jakarta Selatan,50+ terjual,5.0
(Bisa COD) seblak kering daun jeruk Berat 1kg / seblak kemasan /kerupuk bantat,Rp14.700,oyun kriukzz,Jakarta Barat,10 terjual,5.0
kerupuk seblak pedas daun jeruk netto 100grm,Rp5.300,ADDARSNACK,Kab. Cianjur,50+ terjual,5.0
KERUPUK jablay bantet/SEBLAK MINI PEDAS 250gram,Rp14.000,ajs(ale jaya snack),Jakarta Utara,100+ terjual,5.0
KERIPIK SEBLAK JENGKOL 250GR BANYAK RASA DAUN JERUK,Rp9.000,Mega_Snack_095,Cimahi,,
500GR SEBLAK BETON RENYAH VIRAL Cemilan Pedas,Rp23.000,Cemilanku Kaya Bumbu,Kab.Ciamis,30+ terjual,5.0
Kerupuk Bawang Warna Putih Dan Orange 500Gram Seblak Nasi Uduk Dll,Rp13.250,,,100+ terjual,
Kerupuk Bawang Orange Dan Putih 1kg 1kilo Cocok Untuk Seblak Nasi Uduk,Rp24.500,,,100+ terjual,
Gelichips Seblak Kering Gurih isi 260gram - Combo Seblak Kering 4pcs - Seblak 4pcs,Rp43.500,Lidigeli,Kab. Garut,50+ terjual,5.0
Cuanki instant khas Garut,Rp2.999,Hawu mak ayi,Kab. Garut,4 terjual,5.0
cuanki lidah 150 pcs toping seblak baso aci,Rp35.111,CUANKI CULAMETAN,Kab. Garut,500+ terjual,4.9
"cuanki tahu kering, batagor kering, isi 150 toping baso aci seblak",Rp33.999,Culametan Food,Kab. Garut,4 terjual,5.0
Kerupuk Seblak,Rp9.000,SNACK JAKARTA 411,Jakarta Barat,500+ terjual,5.0
"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",Rp22.500,global cookware1,Jakarta Barat,1rb+ terjual,4.8
Kerupuk Seblak Beton Pedas Gurih 1 kg,Rp75.000,YasnackID,Bandung,15 terjual,5.0
Seblak Mommy Instan Rasa Original Kemasan Cup,Rp11.975,Beuki Mart,Bandung,22 terjual,5.0
Kerupuk seblak bantet pedas daun jeruk / krupuk seblak kering 120gram,Rp8.290,camilanqu_shop,Kab. Majalengka,2 terjual,5.0
"Seblak kuah instan , Seblak khas garut",Rp6.000,iwan resistans leather,Kab. Garut,15 terjual,4.7
Seblak Putih Pedas / Kerupuk Bawang Pedas Odjolali Oleh Oleh Bsndung,Rp9.900,,,1rb+ terjual,
Kerupuk Seblak Rafael Pedas Daun Jeruk | Krupuk Mawar Pedes,Rp22.900,,,70+ terjual,
BATAGOR CHIPS Be'CHIPS,Rp23.700,Gerai Snack Official Shop,Kab. Tangerang,1rb+ terjual,4.9
Kylafood Toping Batagor,Rp10.200,kylafood,Bandung,2rb+ terjual,4.9
